species,individuals,ID,date,notes
serow,1,41,29/04/2022,
birds,15,9,24/04/2022,
birds,15,3,25/04/2022,
kalij_pheasant,1,3,26/04/2022,
barking_deer,1,156,05/04/2022,
barking_deer,1,88,06/04/2022,Kamkoshangshong
birds,10,136,04/04/2022,
flying_squirrel,1,22,07/04/2022,
kalij_pheasant,3,39,05/04/2022,
barking_deer,2,48,18/04/2022,Rahmongtoh
assamese_macaque,1,58,26/05/2022,
birds,4,58,28/05/2022,
squirrel,9,58,27/05/2022,
green_pigeon,1,58,28/05/2022,
barking_deer,1,54,31/05/2022,
civet,2,58,06/05/2022,
birds,3,84,14/03/2022,
birds,12,59,11/05/2022,
fish,20,59,13/05/2022,
fish,30,115,26/05/2022,likimro
civet,1,54,24/05/2022,
flying_squirrel,1,54,24/05/2022,
barking_deer,1,135,27/05/2022,
barking_deer,1,3,07/05/2022,
flying_squirrel,4,157,07/05/2022,over three days
barking_deer,1,68,13/05/2022,
civet,1,39,06/05/2022,
squirrel,1,104,02/05/2022,
squirrel,2,101,14/05/2022,
birds,3,7,07/05/2022,
flying_squirrel,4,33,05/05/2022,over three days 
squirrel,3,109,07/05/2022,
birds,20,9,06/05/2022,over two days 
birds,2,98,06/05/2022,
birds,5,19,07/05/2022,
birds,1,158,06/05/2022,
squirrel,4,41,07/05/2022,
hill_partridge,1,39,11/05/2022,
barking_deer,1,3,27/05/2022,
kalij_pheasant,1,88,28/05/2022,
birds,4,101,28/05/2022,
birds,10,9,28/05/2022,
hill_partridge,1,39,18/05/2022,
birds,10,112,27/05/2022,
squirrel,3,58,24/06/2022,
birds,16,58,24/06/2022,
birds,1,15,30/06/2022,
birds,5,60,30/06/2022,
birds,50,60,24/06/2022,
birds,1,76,30/06/2022,
birds,30,62,21/06/2022,
birds,7,57,24/06/2022,
squirrel,1,58,09/07/2022,
birds,25,58,05/07/2022,
birds,7,10,09/07/2022,
fish,30,115,09/07/2022,
birds,10,59,09/07/2022,
squirrel,5,60,02/07/2022,
birds,40,60,09/07/2022,
birds,4,76,11/07/2022,
assamese_macaque,2,159,04/07/2022,
squirrel,2,62,07/07/2022,
frogs,30,62,08/07/2022,
giant_squirrel,3,54,04/07/2022,
birds,18,69,07/07/2022,
frogs,10,69,09/07/2022,
birds,20,69,09/07/2022,
fish,30,74,02/07/2022,
fish,25,79,02/07/2022,
squirrel,4,58,30/07/2022,
birds,48,58,26/07/2022,
birds,20,115,26/07/2022,
birds,2,15,24/07/2022,
fish,250,114,28/07/2022,
bamboo_partridge,2,114,14/07/2022,
birds,1,84,28/07/2022,
frogs,115,115,17/07/2022,
birds,20,129,30/07/2022,
birds,1,59,24/07/2022,
birds,160,60,28/07/2022,
squirrel,5,60,27/07/2022,
birds,25,76,28/07/2022,
birds,40,160,27/07/2022,
assamese_macaque,3,160,28/07/2022,
birds,5,161,29/07/2022,
birds,20,54,21/07/2022,
birds,40,69,23/07/2022,
birds,18,71,29/07/2022,
birds,9,65,29/07/2022,
birds,10,83,29/07/2022,
birds,63,31,29/07/2022,
birds,13,57,28/07/2022,
fish,57,162,27/07/2022,
birds,9,74,23/07/2022,
birds,10,103,07/07/2022,
birds,4,119,04/07/2022,
kalij_pheasant,1,95,12/07/2022,
birds,50,101,11/07/2022,over two days
birds,26,138,11/07/2022,
birds,20,163,11/07/2022,
birds,20,97,12/07/2022,
birds,20,3,09/07/2022,
birds,30,164,11/07/2022,
birds,20,2,11/07/2022,
birds,15,48,11/07/2022,
birds,20,44,11/07/2022,over two days
birds,35,9,11/07/2022,over two days
birds,20,165,11/07/2022,
birds,20,14,11/07/2022,
barking_deer,1,98,07/07/2022,
birds,20,36,11/07/2022,
birds,10,166,11/07/2022,
birds,5,145,14/07/2022,
birds,20,109,07/07/2022,
birds,10,167,11/07/2022,
birds,15,52,07/07/2022,
birds,20,19,11/07/2022,over two days
birds,10,163,13/07/2022,
birds,5,150,14/07/2022,
birds,20,140,13/07/2022,
birds,20,112,11/07/2022,
squirrel,1,112,13/07/2022,
birds,10,146,07/07/2022,
birds,16,117,08/07/2022,
birds,20,88,24/07/2022,
birds,10,110,27/07/2022,
birds,20,106,28/07/2022,
birds,70,39,20/07/2022,over two days
birds,15,168,18/07/2022,
birds,44,122,28/07/2022,
birds,48,101,20/07/2022,over two days
birds,40,143,22/07/2022,
birds,10,169,29/07/2022,
birds,15,33,28/07/2022,
birds,50,97,23/07/2022,over two days
birds,80,3,23/07/2022,over two days
birds,50,11,27/07/2022,over two days
birds,26,48,28/07/2022,
birds,10,109,29/07/2022,
